commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package controller - trait RepositoryViewerControllerBase - class DeleteForm,4.0,1.0,5.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - class CommentForm,4.0,3.0,7.0,2.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - class TagForm,4.0,1.0,5.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - class UploadFiles,5.0,1.0,6.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - method conflict - <$anon: <error>>,2.0,0.0,2.0,1.0,1.0,18.0,17.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,16.0,2.0,0.0,0.0,0.0
HEAD,0,package controller - class MilestonesController,7.0,1.0,8.0,3.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package controller - trait MilestonesControllerBase,8.0,1.0,9.0,2.0,0.0,62.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait MilestonesControllerBase - class MilestoneForm,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - class ControllerBase,47.0,47.0,94.0,1.0,16.0,219.0,200.0,38.0,0.15966386554621848,41.0,63.0,41.0,2.411764705882353,0.8823529411764706,8.235294117647058,4.176470588235294,0.7647058823529411,0.058823529411764705,0.4855814490744752
HEAD,0,package controller - class ControllerBase - method trim2 - <$anon: <error>>,6.0,0.0,6.0,1.0,3.0,11.0,11.0,0.0,0.0,0.0,6.0,4.0,1.3333333333333333,0.0,2.3333333333333335,2.3333333333333335,0.0,0.0,0.0
HEAD,0,package controller - class Context,15.0,30.0,45.0,2.0,1.0,32.0,25.0,6.0,0.1935483870967742,0.0,6.0,1.0,1.0,0.0,7.0,4.0,0.0,0.0,1.0
HEAD,1,package controller - trait AccountManagementControllerBase,28.0,3.0,30.0,2.0,5.0,96.0,92.0,0.0,0.0,2.0,30.0,14.0,2.8,1.6,13.2,7.4,3.2,1.2,0.726027397260274
HEAD,0,package controller - trait AccountManagementControllerBase - method uniqueUserName - <$anon: <error>>,3.0,0.0,3.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountManagementControllerBase - method uniqueMailAddress - <$anon: <error>>,10.0,0.0,10.0,1.0,1.0,22.0,21.0,0.0,0.0,0.0,6.0,4.0,4.0,4.0,12.0,7.0,8.0,3.0,1.0
HEAD,0,package controller - trait AccountManagementControllerBase - method uniqueExtraMailAddress - <$anon: <error>>,13.0,0.0,13.0,1.0,1.0,22.0,21.0,0.0,0.0,0.0,11.0,4.0,4.0,4.0,18.0,12.0,8.0,3.0,1.0
HEAD,0,package controller - trait AccountManagementControllerBase - method reservedNames - <$anon: <error>>,8.0,0.0,8.0,1.0,1.0,8.0,7.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0
HEAD,1,package service - trait RepositoryCommitFileService,58.0,3.0,61.0,0.0,2.0,176.0,163.0,12.0,0.06857142857142857,2.0,62.0,13.0,3.25,8.75,27.25,16.25,4.0,1.25,0.8190684713375797
HEAD,0,package service - object RepositoryCommitFileService,5.0,3.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package service - object RepositoryCommitFileService - class CommitFile,3.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package servlet - class GitAuthenticationFilter,30.0,0.0,30.0,1.0,4.0,136.0,117.0,15.0,0.11363636363636363,0.0,22.0,22.0,3.6666666666666665,5.5,11.166666666666666,4.833333333333333,7.166666666666667,1.3333333333333333,-0.499441056910569
HEAD,0,package servlet - class GitAuthenticationFilter - method doFilter - <$anon: <error>>,2.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
HEAD,1,package servlet - class GitRepositoryServlet,26.0,0.0,26.0,1.0,2.0,95.0,88.0,7.0,0.07368421052631578,0.0,9.0,11.0,3.6666666666666665,10.0,27.666666666666668,5.666666666666667,5.666666666666667,1.0,-0.7868020304568528
HEAD,1,package servlet - class GitBucketRepositoryResolver,15.0,1.0,16.0,1.0,1.0,17.0,16.0,1.0,0.058823529411764705,0.0,10.0,2.0,2.0,9.0,10.0,10.0,7.0,2.0,1.0
HEAD,0,package servlet - class GitBucketReceivePackFactory,13.0,1.0,14.0,1.0,1.0,36.0,36.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,34.0,7.0,0.0,0.0,-1.0
HEAD,0,package servlet - class CommitLogHook,26.0,1.0,27.0,2.0,2.0,185.0,169.0,11.0,0.06111111111111111,0.0,3.0,26.0,13.0,4.0,62.0,3.0,20.0,1.0,-0.911660777385159
HEAD,0,package servlet - class WikiCommitHook,13.0,0.0,13.0,1.0,1.0,59.0,54.0,0.0,0.0,0.0,2.0,10.0,10.0,17.0,37.0,3.0,33.0,9.0,-0.504
HEAD,0,package servlet - object GitLfs,17.0,1.0,18.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchRequest,4.0,2.0,6.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchRequestObject,4.0,1.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchUploadResponse,4.0,2.0,6.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchResponseObject,6.0,1.0,7.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Actions,3.0,2.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Action,5.0,1.0,6.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Error,3.0,1.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package util - object Keys,8.0,2.0,10.0,0.0,0.0,70.0,22.0,48.0,0.6857142857142857,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object Keys - object Session,2.0,2.0,4.0,0.0,0.0,30.0,10.0,21.0,0.6774193548387096,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object Keys - object Flash,2.0,1.0,3.0,0.0,0.0,10.0,5.0,6.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package util - object Keys - object Request,2.0,2.0,4.0,0.0,0.0,22.0,8.0,15.0,0.6521739130434783,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package view - object Markdown,30.0,2.0,31.0,0.0,0.0,171.0,145.0,21.0,0.12650602409638553,0.0,43.0,0.0,1.5,0.0,5.0,3.0,0.0,0.0,0.25
HEAD,1,package view - object Markdown - class GitBucketMarkedRenderer,20.0,1.0,21.0,2.0,7.0,107.0,98.0,4.0,0.0392156862745098,0.0,36.0,26.0,2.888888888888889,0.5555555555555556,13.222222222222221,5.666666666666667,0.6666666666666666,0.2222222222222222,0.1111111111111111
HEAD,0,package servlet - class GitRepositoryServlet,26.0,0.0,26.0,1.0,2.0,95.0,88.0,7.0,0.07368421052631578,0.0,9.0,11.0,3.6666666666666665,10.0,27.666666666666668,5.666666666666667,5.666666666666667,1.0,-0.7868020304568528
HEAD,0,package servlet - class GitBucketRepositoryResolver,15.0,1.0,16.0,1.0,1.0,17.0,16.0,1.0,0.058823529411764705,0.0,10.0,2.0,2.0,9.0,10.0,10.0,7.0,2.0,1.0
HEAD,0,package servlet - class GitBucketReceivePackFactory,13.0,1.0,14.0,1.0,1.0,36.0,36.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,34.0,7.0,0.0,0.0,-1.0
HEAD,1,package servlet - class CommitLogHook,25.0,1.0,26.0,2.0,2.0,184.0,168.0,11.0,0.061452513966480445,0.0,3.0,26.0,13.0,4.0,62.0,3.0,20.0,1.0,-0.911660777385159
HEAD,0,package servlet - class WikiCommitHook,13.0,0.0,13.0,1.0,1.0,59.0,54.0,0.0,0.0,0.0,2.0,10.0,10.0,17.0,37.0,3.0,33.0,9.0,-0.504
HEAD,0,package servlet - object GitLfs,17.0,1.0,18.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchRequest,4.0,2.0,6.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchRequestObject,4.0,1.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchUploadResponse,4.0,2.0,6.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchResponseObject,6.0,1.0,7.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Actions,3.0,2.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Action,5.0,1.0,6.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Error,3.0,1.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package service - trait PullRequestService,55.0,8.0,63.0,0.0,14.0,405.0,363.0,41.0,0.10148514851485149,6.0,54.0,60.0,4.0,7.6,19.133333333333333,5.0,17.933333333333334,3.933333333333333,0.5241351241351242
HEAD,0,package service - object PullRequestService,26.0,8.0,34.0,0.0,0.0,37.0,36.0,0.0,0.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package service - object PullRequestService - class PullRequestCount,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package service - object PullRequestService - class MergeStatus,23.0,1.0,24.0,2.0,0.0,33.0,32.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package api - trait ApiPullRequestControllerBase,6.0,1.0,7.0,2.0,1.0,222.0,168.0,42.0,0.2,1.0,1.0,6.0,6.0,17.0,40.0,2.0,35.0,10.0,1.0
HEAD,1,package controller - class IssuesController,18.0,1.0,19.0,3.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait IssuesControllerBase,22.0,1.0,23.0,2.0,3.0,395.0,373.0,10.0,0.02610966057441253,1.0,10.0,6.0,2.0,4.666666666666667,12.333333333333334,3.3333333333333335,2.6666666666666665,0.6666666666666666,1.0
HEAD,0,package controller - trait IssuesControllerBase - class IssueCreateForm,4.0,1.0,5.0,2.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait IssuesControllerBase - class CommentForm,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait IssuesControllerBase - class IssueStateForm,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - class PullRequestsController,19.0,1.0,20.0,3.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package controller - trait PullRequestsControllerBase,30.0,1.0,31.0,2.0,3.0,582.0,524.0,120.0,0.18633540372670807,1.0,23.0,8.0,2.6666666666666665,5.0,10.0,3.3333333333333335,3.3333333333333335,0.6666666666666666,1.0
HEAD,0,package controller - trait PullRequestsControllerBase - class PullRequestForm,4.0,1.0,5.0,2.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait PullRequestsControllerBase - class MergeForm,3.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package controller - class DashboardController,15.0,1.0,16.0,3.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait DashboardControllerBase,12.0,1.0,13.0,2.0,1.0,82.0,82.0,0.0,0.0,1.0,7.0,12.0,4.0,5.0,17.0,4.0,3.0,0.0,1.0
HEAD,1,package controller - class RepositoryViewerController,20.0,1.0,21.0,3.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase,61.0,1.0,62.0,2.0,6.0,921.0,832.0,492.0,0.3716012084592145,1.0,70.0,24.0,4.0,4.833333333333333,27.5,10.166666666666666,4.5,0.8333333333333334,0.5749207188160677
HEAD,0,package controller - trait RepositoryViewerControllerBase - class UploadForm,4.0,1.0,5.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - class EditorForm,4.0,1.0,5.0,2.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - class DeleteForm,4.0,1.0,5.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - class CommentForm,4.0,3.0,7.0,2.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - class TagForm,4.0,1.0,5.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - class UploadFiles,5.0,1.0,6.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait RepositoryViewerControllerBase - method conflict - <$anon: <error>>,2.0,0.0,2.0,1.0,1.0,18.0,17.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,16.0,2.0,0.0,0.0,0.0
HEAD,1,package servlet - class PluginControllerFilter,12.0,0.0,12.0,0.0,3.0,36.0,36.0,0.0,0.0,0.0,10.0,9.0,3.0,3.3333333333333335,7.333333333333333,5.333333333333333,6.666666666666667,1.3333333333333333,-0.45060412224591323
HEAD,1,package servlet - class CompositeScalatraFilter,3.0,1.0,4.0,0.0,4.0,45.0,44.0,0.0,0.0,0.0,4.0,11.0,2.75,3.0,7.0,2.0,6.0,1.0,-0.65
HEAD,0,package servlet - class MockFilterChain,2.0,1.0,3.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package servlet - class GitRepositoryServlet,26.0,0.0,26.0,1.0,2.0,95.0,88.0,7.0,0.07368421052631578,0.0,9.0,11.0,3.6666666666666665,10.0,27.666666666666668,5.666666666666667,5.666666666666667,1.0,-0.7868020304568528
HEAD,0,package servlet - class GitBucketRepositoryResolver,15.0,1.0,16.0,1.0,1.0,17.0,16.0,1.0,0.058823529411764705,0.0,10.0,2.0,2.0,9.0,10.0,10.0,7.0,2.0,1.0
HEAD,0,package servlet - class GitBucketReceivePackFactory,13.0,1.0,14.0,1.0,1.0,36.0,36.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,34.0,7.0,0.0,0.0,-1.0
HEAD,1,package servlet - class CommitLogHook,25.0,1.0,26.0,2.0,2.0,187.0,171.0,11.0,0.06043956043956044,0.0,3.0,26.0,13.0,4.0,62.0,3.0,20.0,1.0,-0.9134948096885813
HEAD,0,package servlet - class WikiCommitHook,13.0,0.0,13.0,1.0,1.0,59.0,54.0,0.0,0.0,0.0,2.0,10.0,10.0,17.0,37.0,3.0,33.0,9.0,-0.504
HEAD,0,package servlet - object GitLfs,17.0,1.0,18.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchRequest,4.0,2.0,6.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchRequestObject,4.0,1.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchUploadResponse,4.0,2.0,6.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class BatchResponseObject,6.0,1.0,7.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Actions,3.0,2.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Action,5.0,1.0,6.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package servlet - object GitLfs - class Error,3.0,1.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package service - trait PullRequestService,55.0,8.0,63.0,0.0,14.0,405.0,363.0,41.0,0.10148514851485149,6.0,54.0,60.0,4.0,7.6,19.133333333333333,5.0,17.933333333333334,3.933333333333333,0.5241351241351242
